date,version,ladder_elo,ladder_rank,field_size,gelo,notes
2026-07-05,v25c-revert,600.0,,,,"submission 54354862 -- plain revert to v25c code (training/baselines/v25c.py, reconstructed from git history commit cb0a526), shipped same-day as a same-day reaction to the (later corrected) apparent v26/v27 decline. Scored 600.0 minutes after shipping vs the original v25c submission's settled 818.3 -- same-ish code, wildly different score, the data point that revealed the age-confound (see report-log 2026-07-05 CORRECTION entry). Harmless to keep as one of the latest-2 (known-good code), but the 600.0 figure should NOT be read as v25c's true strength."
2026-07-05,v25c+boardthin,,,,,"submission 54354935 -- isolation candidate: v25c (training/baselines/v25c.py) + ONLY the board-thinning hand_surplus fix, no Phase C belief wiring. Shipped to disentangle whether Phase C or the board-thinning fix drove the (later-corrected, likely-illusory) v26/v27 decline. Gated 54.3% (163/300) vs pure v25c offline before shipping. Ladder score needs a SETTLED read (matched age vs other submissions, not an early pull) before drawing any conclusion -- see report-log 2026-07-05 CORRECTION entry for why early reads are unreliable on this ladder."
2026-07-05,v28,pending,,,,"submission 54356683 -- combines board-thinning hand_surplus fix + Phase C belief wiring + confidence recalibration (b_conf threshold 0.8->0.97). Shipped on a matched-age comparison basis: simultaneously-shipped 54354935 (isolation, board-thinning only) and 54354862 (plain v25c revert) narrowed from huge early swings to a +26pt edge for the fix (746.9 vs 720.7) after ~3h. Phase C additions justified by the 725-replay behavioral check (82.4% archetype accuracy, 0.9% wall false-positive rate), not ladder score. v28 itself has no settled read yet at ship time -- watch closely, do not over-read early volatility. See report-log 2026-07-05 v28 entry."
2026-07-07,v29,pending,,,,"submission 54439688 -- endgame-gated belief-determinized rollout search: plays v28+Enriching-fix heuristic verbatim except when either player is <=2 prizes from winning, where it switches to MCTS rollout search (ENDGAME_SIMS=60) over belief-sampled determinizations. First search-based ladder ship. Offline: confirmed 59.0%+-4.8% (236W-164L, n=400, seats alternated) vs the plain heuristic itself, isolating the search contribution exactly. Multi-file submission (main.py+heuristic.py+opponents/*+training/nn/*+training/belief/*), a first for this project -- verified via clean-room test (isolated copy, no repo access) that the search path engages with zero fallback triggers before shipping. No ladder read yet at ship time. See report-log.md 2026-07-07 Endgame-gated search entries."
2026-07-07,v29b,652.6 (2026-07-08 read; superseded same-day by v29c),,,,"submission 54440211 -- v29 (54439688) errored on the validation episode: NameError, __file__ undefined (Kaggle execs main.py from a raw string into a bare namespace, no __file__ -- see report-log.md __file__ NameError entry). Fixed by deriving the base path from heuristic.__file__ (a normally-imported sibling module) instead of main.py's own nonexistent __file__. Reshipped same day, SubmissionStatus.COMPLETE. 600.0 is the standard fresh-submission floor seen on every prior ship, not a signal yet."
2026-07-07,v29c,783.8 (2026-07-08 read; single read -- not settled per this ladder's volatility),,,,"submission 54441561 -- two ladder-replay-mined main.py fixes on top of v29b's search stack (code otherwise unchanged): (1) _bench_target_priority helper factored out and used as a tiebreak on voluntary RETREAT options, fixing retreat-target scoring that previously ignored WHICH bench Pokemon a retreat targeted (ties broke on array order, e.g. a fueled Alakazam voluntarily retreated for a 0-energy Psyduck that got stuck until deck-out -- episodes 84709203/84710776/84712093); (2) _opp_threatening proxy + a -4.0 override so retreating an unevolved/unfueled Abra or Kadabra into an armed opponent now scores below just holding position, instead of feeding a fragile line piece to a KO for nothing (episode 84710513; deliberately a shallow 1-ply heuristic gate, not a new search subsystem -- see report-log.md rationale). Sanity-checked (not a confirmatory gate) at 200 games vs. the pre-session baseline: 55.0%+-6.9%, 0 errors. Repackaged via package_endgame_submission.py, re-validated with Kaggle's actual get_last_callable loader plus 5 full local env.run games (all DONE, 0 errors) before shipping. SubmissionStatus.COMPLETE, validation episode 84717810 clean. See report-log.md 2026-07-07 'v29b ladder losses' and 'setup-race losses' entries."
2026-07-08,v29d,pending,,,,"submission 54481189 -- REVERT: search off the ladder, plain heuristic main.py + deck.csv (v29c retreat fixes kept, endgame search wrapper removed). Diverse-anchor gauntlet had found the shipped v29b/v29c search regresses 16-20pp vs lucario/abomasnow; three real gate bugs fixed (archetype rollout policy, setup-phase gate, losing-side gate) without anchor recovery (final: lucario 73.0%+-6.2%, abomasnow 75.0%+-6.0% vs pre-registered >=88% bar) -> pre-registered revert rule fired. Pre-ship validation: get_last_callable loader + 5 env.run games vs lucario, 5/5 DONE. See report-log.md 2026-07-08 GATE FAILED entry."
2026-07-12,v-dmc1,pending,,,,"submission 54624481 -- FIRST-EVER live-ladder read of a genuinely learned (RL/DMC) model in this project. Ships training/nn/dmc_agent.py (greedy, NET_EPS=0, NET_BIG=1) with training/ptcg_dmc_r6_checkpoint1.pth (round-6 study checkpoint-1: fresh-init + full-MC targets + PTCGNetBig, 831643 samples, offline 8.25%+-2.7% vs v29d n=400). Deliberate strategic pivot: every prior learned-method verdict (BC/DAgger/AWR/DMC/search/AlphaZero/sequence-transformer) rests on offline-vs-v29d only, which Design Principle #1 says can lie -- this calibrates that. No heuristic fallback wrapper (raw policy, uncontaminated read); dmc_agent.py's own try/except still returns a safe legal default on any inference exception. Hit the same __file__-NameError bug v29 did on the first ship attempt; fixed identically (path derived from heuristic.__file__). Validated via get_last_callable + 3 full env.run games (training/local_cg shim) before shipping, 0 errors. v29d (54481189, 723.0 publicScore) remains the standing non-experimental submission -- re-ship it before any final-standing deadline if this read comes back weak, since only the latest 2 submissions count. See docs/report-log.md 2026-07-12 entry."
2026-07-15,v-dmc1b,pending,,,,"submission 54740723 -- RE-SHIP of the v-dmc1 live read: 54624481 turned out to be SubmissionStatus.ERROR (never played a ladder episode; the first live learned-model read never actually happened). Validation episode 85648727 log: ModuleNotFoundError No module named cg -- Kaggle agent sandbox has no cg module; the top-level import chain main.py -> dmc_agent -> net_common -> encode -> threat -> cg.api dies at load. Local validation missed it because training/local_cg is always importable locally (same environment-gap class as the v29 __file__ NameError). Fixes: threat.py falls back to bundled card_tables.json (44KB dump of all_card_data/all_attack, generated locally from cg.api); tempo_features.py added to the package list (encode.py has imported it at module level since 2026-07-12; a rebuilt package would have crashed on it next). Clean-room validation THIS time from the EXTRACTED tarball with no repo paths (cg provably unimportable, asserted): threat JSON fallback + full Q-net forward on a real obs, get_last_callable raw-string load, 5 full env.run self-play games, 0 errors. Same checkpoint as v-dmc1. NOTE for the hybrid (issue #3 Phase D): hybrid_agent imports the same encode chain -- this fix + extracted-tarball validation protocol is mandatory for that ship too."
2026-07-16,v29d-reship1,pending,,,,"submission 54760870 -- identical tarball to 54481189 (repo main.py+deck.csv, byte-unchanged since the v29d ship). Shipped with copy 2 to displace the v-dmc1b experimental read (374.7 publicScore -- live learned-model read complete, verdict unambiguous) from the 2 counting slots; the documented Aug-14 backstop executed early. Clean-room validated from extracted tarball (get_last_callable + 5 env.run games, 0 errors)."
2026-07-16,v29d-reship2,pending,,,,"submission 54760877 -- second copy of 54760870 so BOTH counting slots hold the known-good heuristic. See reship1 row."
